Clima,Fonte,Gs,Nome,Sottotipo,Terreno,Tipo
Temperati,Bestiario 2,2,Rospo Gigante,,"Foreste, Pianure, Paludi",Animale
"Caldi, Temperati",Bestiario 1,2,Sahuagin,Acquatico,Oceani,Umanoide Mostruoso
"Caldi, Temperati",Bestiario 1,2,Sahuagin Malenti,Acquatico,Oceani,Umanoide Mostruoso
"Caldi, Temperati",Bestiario 1,2,Sanguisuga Gigante,Acquatico,Paludi,Parassita
"Freddi, Temperati",Bestiario 3,2,Sasquatch,Sasquatch,Foreste,Umanoide
Temperati,Bestiario 1,2,Scarabeo Bombardiere,,Foreste,Parassita
Qualsiasi,Bestiario 4,2,Scheggia dell'Anima,"Extraplanare, Mutaforma",Terreni (Extraplanare),Esterno
-,Bestiario 1,2,Scheletro Campione,,Qualsiasi,Non Morto
Caldi,Bestiario 3,2,Sciacalloide,Mutaforma,Deserti,Bestia Magica
"Caldi, Temperati",Bestiario 2,2,Sciame di Blatte,Sciame,"Qualsiasi, Urbani",Parassita
"Caldi, Temperati",Bestiario 4,2,Sciame di Locuste,Sciame,"Deserti, Pianure",Parassita
"Temperati, Tropicali",Bestiario 1,2,Sciame di Pipistrelli,Sciame,Qualsiasi,Animale
-,Bestiario 1,2,Sciame di Ratti,Sciame,Qualsiasi,Animale
Caldi,Bestiario 2,2,Sciame di Scimmie,Sciame,Foreste,Animale
-,Bestiario 3,2,Sciame di Serpenti,Sciame,Qualsiasi,Animale
Qualsiasi,Bestiario 4,2,Scuoiato,,Terreni,Non Morto
"Caldi, Temperati",Bestiario 4,2,Seps Adolescente,,Deserti Foreste,Bestia Magica
Qualsiasi,Bestiario 3,2,Serpentana,,Foreste,Drago
Caldi,Bestiario 1,2,Serpente Strangolatore,,"Acque Dolci, Foreste, Paludi",Animale
"Freddi, Temperati",Bestiario 1,2,Skum,Acquatico,"Acquatici, Sotterranei",Umanoide Mostruoso
Temperati,Bestiario 2,2,Slurk,,"Paludi, Sotterranei",Bestia Magica
Qualsiasi,Bestiario 1,2,Squalo,Acquatico,Oceani,Animale
Qualsiasi,Bestiario 4,2,Squalo Leuca,Acquatico,Oceani,Animale
Qualsiasi,Bestiario 1,2,Strangolatore,,Sotterranei,Aberrazione
Temperati,Bestiario 2,2,Tasso Crudele,,Foreste,Animale
-,Bestiario 2,2,Thoqqua,"Elementale, Extraplanare, Fuoco, Terra",Qualsiasi (Piano del Fuoco),Esterno
Qualsiasi,Bestiario 2,2,Tritone,"Acqua, Nativo",Oceani,Esterno
Tropicali,Bestiario 4,2,Trox,,Deserti,Umanoide Mostruoso
-,Bestiario 1,2,Vargouille,"Extraplanare, Malvagio",Qualsiasi,Esterno
Temperati,Bestiario 1,2,Worg,,"Foreste, Pianure",Bestia Magica
Qualsiasi,Bestiario 2,2,Zombi Juju,Umanoide Potenziato,Terreni,Non Morto
Caldi,Bestiario 3,3,Adaro,Acquatico,Oceani,Umanoide Mostruoso
Temperati,Bestiario 3,3,Aderitore,,"Qualsiasi, Sotterranei",Umanoide Mostruoso
-,Bestiario 3,3,Allip,Incorporeo,Qualsiasi,Non Morto
"Freddi, Temperati",Bestiario 3,3,"Animale da Pascolo, Alce Gigante",,Pianure,Animale
Caldi,Bestiario 4,3,"Animale da Pascolo, Giraffa",,Pianure,Animale
"Caldi, Temperati",Bestiario 1,3,Ankheg,,Pianure,Bestia Magica
Temperati,Bestiario 1,3,Aquila Gigante,,Montagne,Bestia Magica
Qualsiasi,Bestiario 2,3,Blatta Venefica,,Terreni,Parassita
-,Bestiario 4,3,Bubbone Purulento Abissale,,Qualsiasi,Melma
-,Bestiario 4,3,Bubbone Purulento Infernale,,Qualsiasi,Melma
Qualsiasi,Bestiario 2,3,Bunyip,Acquatico,Acquatici,Bestia Magica
-,Bestiario 3,3,Cariatide,,Qualsiasi,Costrutto
Qualsiasi,Bestiario 4,3,Carne Famelica,,"Sotterranei, Terreni",Melma
Qualsiasi,Bestiario 4,3,"Carnideforme, Grothlut",,Sotterranei,Aberrazione
Qualsiasi,Bestiario 4,3,Cavalluccio Marino Gigante,Acquatico,Oceani,Animale
Temperati,Bestiario 1,3,Centauro,,"Foreste, Pianure",Umanoide Mostruoso
Qualsiasi,Bestiario 3,3,Ceratioide,Acquatico,Acque Salate,Umanoide Mostruoso
Caldi,Bestiario 2,3,Chupacabra,,"Colline, Pianure",Bestia Magica
Caldi,Bestiario 2,3,Chupacabra Volante,,"Colline, Pianure",Bestia Magica
-,Bestiario 1,3,Cobra Adamantino,,Qualsiasi,Costrutto
-,Bestiario 1,3,Cobra di Mithral,,Qualsiasi,Costrutto
"Caldi, Temperati",Bestiario 1,3,Cobra Reale,,Qualsiasi,Animale
Temperati,Bestiario 1,3,Cockatrice,,Pianure,Bestia Magica
Qualsiasi,Bestiario 2,3,Crysmal,"Elementale, Terra",Sotterranei (Piano della Terra),Esterno
Qualsiasi,Bestiario 1,3,Cubo Gelatinoso,,Sotterranei,Melma
Qualsiasi,Bestiario 1,3,Derro,,Sotterranei,Umanoide
-,Bestiario 2,3,"Diavolo, Accusatore","Diavolo, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Caldi,Bestiario 1,3,"Dinosauro, Deinonico",,Foreste,Animale
Caldi,Bestiario 3,3,"Dinosauro, Dimetrodonte",,Foreste,Animale
Caldi,Bestiario 1,3,"Dinosauro, Pteranodonte",,Zone Costiere,Animale
Caldi,Bestiario 3,3,Disincantatore,,Terreni,Bestia Magica
-,Bestiario 2,3,Diziriak,Extraplanare,Qualsiasi (Piano delle Ombre),Esterno
Qualsiasi,Bestiario 4,3,Donnola Crudele,,Terreni,Animale
-,Bestiario 1,3,Doppelganger,Mutaforma,Qualsiasi,Umanoide Mostruoso
Temperati,Bestiario 3,3,Draco di Fiume,"Acqua, Acquatico","Fiumi, Laghi",Drago
Caldi,Bestiario 1,3,"Drago Cromatico, Nero Cucciolo",Acqua,Paludi,Drago
Qualsiasi,Bestiario 3,3,"Drago Imperiale, Sottosuolo Cucciolo",Fuoco,Sotterranei,Drago
Caldi,Bestiario 1,3,"Drago Metallico, Ottone Cucciolo",Fuoco,Deserti,Drago
Qualsiasi,Bestiario 2,3,"Drago Primevo, Salsedine Cucciolo","Extraplanare, Acqua",Acquatici (Piano dell'Acqua),Drago
Qualsiasi,Bestiario 2,3,Draugr Capitano,Acqua,Zone Costiere,Non Morto
Temperati,Bestiario 1,3,Driade,,Foreste,Folletto
Qualsiasi,Bestiario 1,3,Drow Nobile,Elfo,Sotterranei,Umanoide
-,Bestiario 2,3,Elementale del Fango Medio,"Acqua, Elementale, Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
-,Bestiario 2,3,Elementale del Fulmine Medio,"Aria, Elementale, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
-,Bestiario 1,3,Elementale del Fuoco Medio,"Fuoco, Elementale, Extraplanare",Qualsiasi (Piano del Fuoco),Esterno
Qualsiasi,Bestiario 2,3,Elementale del Ghiaccio Medio,"Acqua, Aria, Elementale, Extraplanare","Specchi d'Acqua, Terreni (Piano dell'Acqua)",Esterno
-,Bestiario 2,3,Elementale del Magma Medio,"Fuoco, Elementale, Extraplanare",Qualsiasi (Piano del Fuoco),Esterno
-,Bestiario 1,3,Elementale dell'Acqua Medio,"Acqua, Elementale, Extraplanare",Qualsiasi (Piano dell'Acqua),Esterno
-,Bestiario 1,3,Elementale dell'Aria Medio,"Aria, Elementale, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
-,Bestiario 1,3,Elementale della Terra Medio,"Elementale, Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
Temperati,Bestiario 1,3,Ettercap,,Foreste,Aberrazione
"Caldi, Temperati",Bestiario 4,3,"Formian, Combattente",,"Sotterranei, Terreni",Umanoide Mostruoso
-,Bestiario 1,3,Formica Gigante Maschio,,Qualsiasi,Parassita
-,Bestiario 3,3,Fungo Cerebrale,,Qualsiasi,Vegetale
Qualsiasi,Bestiario 3,3,Fungo Fantasma,,Sotterranei,Vegetale
Qualsiasi,Bestiario 1,3,Fungo Viola,,Sotterranei,Vegetale
Qualsiasi,Bestiario 1,3,Ghast,,Terreni,Non Morto
-,Bestiario 4,3,"Golem, Cera",,Qualsiasi,Costrutto
Caldi,Bestiario 1,3,Gorilla Crudele,,Foreste,Animale
Qualsiasi,Bestiario 2,3,Grick,,Sotterranei,Aberrazione
Caldi,Bestiario 1,3,Iena Crudele,,Pianure,Animale
Temperati,Avventure Mitiche,3,Ippogrifo Mitico,Mitico,"Colline, Pianure",Bestia Magica
Qualsiasi,Bestiario 4,3,Jack il Saltatore,,Terreni,Folletto
Temperati,Bestiario 2,3,Jackrametto,,Foreste,Folletto
Caldi,Bestiario 3,3,Kech,,Foreste,Umanoide Mostruoso
-,Bestiario 3,3,Larva Necrofaga Gigante,,Qualsiasi,Parassita
Caldi,Bestiario 1,3,Leone,,Pianure,Animale
Qualsiasi,Bestiario 3,3,"Leshy, Alga","Acquatico, Leshy, Mutaforma","Oceani, Zone Costiere",Vegetale
Temperati,Bestiario 1,3,Liana Assassina,,Foreste,Vegetale
Caldi,Bestiario 4,3,"Licantropo, Coccodrillo Mannaro","Mutaforma, Umano","Fiumi, Paludi",Umanoide
Temperati,Bestiario 4,3,"Licantropo, Pipistrello Mannaro","Mutaforma, Umano","Colline, Foreste",Umanoide
Qualsiasi,Bestiario 4,3,"Licantropo, Squalo Mannaro","Mutaforma, Umano","Oceani, Zone Costiere",Umanoide
"Caldi, Temperati",Bestiario 4,3,Locusta Gigante,,"Deserti, Pianure",Parassita
Caldi,Bestiario 3,3,"Lucertola, Camaleonte Gigante",,"Foreste, Montagne",Animale
"Freddi, Temperati",Bestiario 1,3,Lupo Crudele,,Foreste,Animale
Qualsiasi,Bestiario 3,3,Magmin,"Elementale, Extraplanare, Fuoco",Terreni (Piano del Fuoco),Esterno
Temperati,Bestiario 1,3,Mantide Gigante,,Foreste,Parassita
-,Bestiario 1,3,Mephit del Fuoco,Fuoco,Qualsiasi (Piano Elementale del Fuoco),Esterno
-,Bestiario 1,3,Mephit del Ghiaccio,Freddo,Qualsiasi (Piano Elementale dell'Aria),Esterno
-,Bestiario 1,3,Mephit del Magma,Fuoco,Qualsiasi (Piano Elementale del Fuoco),Esterno
-,Bestiario 1,3,Mephit del Sale,Terra,Qualsiasi (Piano Elementale della Terra),Esterno
-,Bestiario 1,3,Mephit del Vapore,Fuoco,Qualsiasi (Piano Elementale del Fuoco),Esterno
-,Bestiario 1,3,Mephit dell'Acqua,Freddo,Qualsiasi (Piano Elementale dell'Acqua),Esterno
-,Bestiario 1,3,Mephit dell'Aria,Aria,Qualsiasi (Piano Elementale dell'Aria),Esterno
-,Bestiario 1,3,Mephit della Melma,Acqua,Qualsiasi (Piano Elementale dell'Acqua),Esterno
-,Bestiario 1,3,Mephit della Polvere,Aria,Qualsiasi (Piano Elementale dell'Aria),Esterno
-,Bestiario 1,3,Mephit della Terra,Terra,Qualsiasi (Piano Elementale della Terra),Esterno
Temperati,Bestiario 2,3,Merrow d'Acqua Dolce,"Acquatico, Gigante","Fiumi, Laghi",Umanoide
Qualsiasi,Bestiario 2,3,Micogrillo,,Sotterranei,Aberrazione
"Caldi, Temperati",Bestiario 2,3,Millepiedi Gigante Sferzante,,"Foreste, Sotterranei",Parassita
"Caldi, Temperati",Bestiario 2,3,Mobat,,"Colline, Foreste, Sotterranei",Bestia Magica
-,Bestiario 4,3,Muffa della Schiavitù Mentale,,Qualsiasi,Melma
"Caldi, Temperati",Bestiario 2,3,Nebbia Vampirica,"Acqua, Aria","Paludi, Sotterranei",Aberrazione
-,Bestiario 2,3,Necrofidio,,Qualsiasi,Costrutto
Qualsiasi,Bestiario 4,3,Necroibrido,,"Sotterranei, Terreni",Non Morto
"Caldi, Temperati",Bestiario 2,3,Ninfa di Libellula Gigante,Acquatico,Acque,Parassita
Temperati,Bestiario 3,3,Nixie di Palude,Acquatico,Acque,Folletto
-,Bestiario 1,3,Oggetto Animato,,Qualsiasi,Costrutto
"Freddi, Temperati",Bestiario 1,3,Ogre,Gigante,Colline,Umanoide
-,Bestiario 1,3,Ombra,Incorporeo,Qualsiasi,Non Morto
Freddi,Bestiario 1,3,Orso Nero,,Foreste,Animale
Qualsiasi,Bestiario 2,3,Oscuro Uccisore,Oscuro,Sotterranei,Umanoide
"Caldi, Temperati",Bestiario 4,3,Pard,,"Foreste, Pianure",Bestia Magica
Qualsiasi,Bestiario 2,3,Pech,Terra,Sotterranei (Piano della Terra),Folletto
"Caldi, Temperati",Bestiario 1,3,Pegaso,,Pianure,Bestia Magica
Temperati,Bestiario 2,3,Pièveloce,,Foreste,Folletto
Temperati,Bestiario 3,3,Puzzola Gigante,,Foreste,Animale
Temperati,Bestiario 3,3,Rospo Gigante Fatato,,"Foreste, Paludi, Pianure",Folletto
Qualsiasi,Bestiario 1,3,Rugginofago,,Sotterranei,Aberrazione
Caldi,Bestiario 4,3,Rukh Adolescente,,"Deserti, Montagne",Bestia Magica
"Caldi, Temperati",Bestiario 1,3,Sahuagin Mutante con Quattro Braccia,Acquatico,Oceani,Umanoide Mostruoso
Temperati,Bestiario 1,3,Sciame di Vespe,Sciame,Foreste,Parassita
Tropicali,Bestiario 2,3,Sciame di Zanzare,Sciame,Paludi,Parassita
-,Avventure Mitiche,3,Scheletro Campione Mitico,Mitico,Qualsiasi,Non Morto
"Caldi, Temperati",Bestiario 1,3,Scorpione Gigante,,"Deserti, Foreste, Pianure, Sotterranei",Parassita
-,Bestiario 1,3,Segugio Infernale,"Extraplanare, Fuoco, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Freddi,Bestiario 3,3,Segugio Troll,,Montagne,Bestia Magica
-,Bestiario 1,3,Segugio Urlatore,"Extraplanare, Malvagio",Qualsiasi,Esterno
-,Bestiario 4,3,Signore degli Zombi,,Qualsiasi,Non Morto
-,Bestiario 4,3,Shulsaga,Extraplanare,Qualsiasi (Piano Astrale),Esterno
Temperati,Bestiario 4,3,Snallygaster,,"Foreste, Montagne",Aberrazione
Qualsiasi,Bestiario 2,3,Spriggan,Gnomo,"Colline, Foreste",Umanoide
Qualsiasi,Bestiario 2,3,Spriggan Grande,Gnomo,"Colline, Foreste",Umanoide
Qualsiasi,Bestiario 1,3,Squalo Martello,Acquatico,Oceani,Animale
Qualsiasi,Bestiario 1,3,Squalo Tigre,Acquatico,Oceani,Animale
Freddi,Bestiario 4,3,Tricheco,,Oceani,Animale
"Freddi, Temperati",Bestiario 3,3,Troll del Muschio,"Gigante, Mutaforma",Foreste,Umanoide
Qualsiasi,Bestiario 2,3,Ululatore,"Caotico, Extraplanare, Malvagio",Terreni (Abisso),Esterno
Temperati,Bestiario 1,3,Unicorno,,Foreste,Bestia Magica
-,Bestiario 2,3,Uomo Sabbia,"Elementale, Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
Qualsiasi,Bestiario 2,3,Urdefhan,Nativo,Terreni,Esterno
-,Bestiario 2,3,Vedova Nera Gigante,,Qualsiasi,Parassita
Temperati,Bestiario 1,3,Vespa Gigante,,Foreste,Parassita
-,Bestiario 1,3,Wight,,Qualsiasi,Non Morto
Caldi,Bestiario 4,3,Worg della Morte,,Deserti,Bestia Magica
Temperati,Avventure Mitiche,3,Worg Mitico,Mitico,"Foreste, Pianure",Bestia Magica
-,Bestiario 2,4,Alaoscura,Extraplanare,Qualsiasi (Piano delle Ombre),Esterno
Temperati,Bestiario 2,4,Anfisbena,,"Colline, Sotterranei",Bestia Magica
"Freddi, Temperati",Bestiario 1,4,"Animale da Pascolo, Bisonte",,Pianure,Animale
Tropicali,Bestiario 2,4,Aranea,,Foreste,Bestia Magica
-,Bestiario 1,4,"Arconte, Segugio","Arconte, Buono, Extraplanare, Legale",Qualsiasi (Paradiso),Esterno
-,Bestiario 4,4,Armatura Fantasma Gigante,,Qualsiasi,Non Morto
Temperati,Bestiario 1,4,Arpia,,Paludi,Umanoide Mostruoso
Caldi,Bestiario 3,4,Avvoltoio Gigante,,"Colline, Pianure",Animale
-,Bestiario 1,4,Barghest,"Extraplanare, Legale, Malvagio, Mutaforma",Qualsiasi,Esterno
Caldi,Bestiario 2,4,Chupacabra Grande,,"Colline, Pianure",Bestia Magica
"Temperati, Tropicali",Bestiario 1,4,Cinghiale Crudele,,Foreste,Animale
Temperati,Avventure Mitiche,4,Cockatrice Mitica,Mitico,Pianure,Bestia Magica
Qualsiasi,Bestiario 4,4,Comozant Wyrd,"Aria, Elementale, Extraplanare, Incorporeo",Oceani (Durante le Tempeste),Esterno
Temperati,Bestiario 2,4,Crocotta,,Pianure,Animale
-,Bestiario 3,4,"Daemon, Vulnudaemon","Daemon, Extraplanare, Malvagio",Qualsiasi (Abaddon),Esterno
Temperati,Bestiario 2,4,Decapode,,"Foreste, Sotterranei",Aberrazione
-,Bestiario 3,4,"Demone, Schir","Caotico, Demone, Extraplanare, Malvagio",Qualsiasi (Abisso),Esterno
"Caldi, Temperati",Bestiario 3,4,"Dinosauro, Pachicefalosauro",,Pianure,Animale
Temperati,Bestiario 2,4,"Dinosauro, Parasaurolofo",,"Foreste, Pianure",Animale
-,Bestiario 3,4,"Div, Aghash","Div, Extraplanare, Malvagio",Qualsiasi (Abaddon),Esterno
Qualsiasi,Bestiario 2,4,Draco di Foresta,Terra,Foreste,Drago
Freddi,Bestiario 1,4,"Drago Cromatico, Bianco Molto Giovane",Freddo,Montagne,Drago
Temperati,Bestiario 1,4,"Drago Cromatico, Verde Cucciolo",Aria,Foreste,Drago
Qualsiasi,Bestiario 3,4,"Drago Imperiale, Mare Cucciolo",Acqua,Acquatici,Drago
Caldi,Bestiario 1,4,"Drago Metallico, Rame Cucciolo",Terra,Colline,Drago
Qualsiasi,Bestiario 2,4,"Drago Primevo, Cristallo Molto Giovane","Extraplanare, Terra",Sotterranei (Piano della Terra),Drago
Qualsiasi,Bestiario 2,4,"Drago Primevo, Magma Cucciolo","Extraplanare, Fuoco","Montagne, Sotterranei (Piano del Fuoco)",Drago
Temperati,Bestiario 4,4,Ettercap d'Incubo,,Foreste,Aberrazione
Caldi,Bestiario 4,4,Felino Marino,,Zone Costiere,Bestia Magica
Qualsiasi,Bestiario 2,4,Ficomide,,Sotterranei,Vegetale
Freddi,Bestiario 4,4,Flusso Congelante,"Acqua, Freddo",Qualsiasi,Melma
-,Bestiario 1,4,Formica Gigante Regina,,Qualsiasi,Parassita
"Freddi, Temperati",Bestiario 4,4,Fossegrim,Acquatico,Acquatici (Cascate),Folletto
-,Bestiario 1,4,Gargoyle,Terra,Qualsiasi,Umanoide Mostruoso
Caldi,Bestiario 1,4,"Genio, Janni",Nativo,Deserti,Esterno
Freddi,Bestiario 1,4,Ghiottone Crudele,,Foreste,Animale
-,Bestiario 2,4,"Golem, Cadaveri",,Qualsiasi,Costrutto
-,Bestiario 4,4,"Golem, Rifiuti",,Qualsiasi,Costrutto
Qualsiasi,Bestiario 1,4,Granchio delle Rocce,Acquatico,Acquatici,Parassita
Qualsiasi,Bestiario 4,4,Grande Squalo Bianco,Acquatico,Oceani,Animale
Qualsiasi,Bestiario 2,4,Grick della Giungla,,Foreste,Aberrazione
Temperati,Bestiario 1,4,Grifone,,Colline,Bestia Magica
Qualsiasi,Bestiario 2,4,Grindylow Gigante,Acquatico,Acquatici,Aberrazione
Freddi,Bestiario 4,4,Huldra,,"Foreste, Montagne",Folletto
Temperati,Bestiario 1,4,Idra a 5 Teste,,Paludi,Bestia Magica
"Caldi, Temperati",Bestiario 3,4,Kamadan,,Paludi,Bestia Magica
Qualsiasi,Bestiario 1,4,Kapoacinth,"Terra, Acquatico","Acquatici, Mari, Oceani, Zone Costiere",Umanoide Mostruoso
Qualsiasi,Bestiario 2,4,Kelpie,"Acquatico, Mutaforma",Acquatici,Folletto
Temperati,Bestiario 2,4,Korred,,Foreste,Folletto
-,Bestiario 3,4,Leone Foo,"Animale Potenziato, Buono, Extraplanare",Qualsiasi (Nirvana),Esterno
"Caldi, Temperati",Bestiario 2,4,Libellula Gigante,,Terreni,Parassita
Qualsiasi,Bestiario 2,4,"Licantropo, Orso Mannaro","Mutaforma, Umano",Foreste,Umanoide
Qualsiasi,Bestiario 2,4,"Licantropo, Tigre Mannara","Mutaforma, Umano","Paludi, Pianure",Umanoide
Qualsiasi,Bestiario 3,4,Lumafrusto,,Sotterranei,Bestia Magica
Qualsiasi,Bestiario 4,4,Magro Notturno,,Montagne (Dimensione del Sogno),Umanoide Mostruoso
"Freddi, Temperati",Bestiario 2,4,Mandragora,,Foreste,Vegetale
"Freddi, Temperati",Bestiario 2,4,"Megafauna, Megalocero",,Pianure,Animale
Temperati,Bestiario 1,4,Megera Marina,Acquatico,Acquatici,Umanoide Mostruoso
Qualsiasi,Bestiario 1,4,Melma Cristallina,Acquatico,Acque Profonde,Melma
Freddi,Bestiario 1,4,Melma Grigia,,"Paludi, Sotterranei",Melma
Qualsiasi,Bestiario 3,4,Miceloide,,Sotterranei,Vegetale
-,Bestiario 1,4,Mimic,Mutaforma,Qualsiasi,Aberrazione
Temperati,Bestiario 1,4,Minotauro,,"Rovine, Sotterranei",Umanoide Mostruoso
Qualsiasi,Bestiario 4,4,Muro Vivente,,"Rovine, Sotterranei",Costrutto
"Freddi, Temperati",Avventure Mitiche,4,Ogre Mitico,"Gigante, Mitico",Colline,Umanoide
-,Bestiario 3,4,"Oni, Kuwa","Mutaforma, Nativo, Oni, Umano",Qualsiasi,Esterno
Freddi,Bestiario 1,4,Orso Grigio,,Foreste,Animale
Temperati,Bestiario 1,4,Orsogufo,,Foreste,Bestia Magica
Qualsiasi,Bestiario 1,4,Oscuro Predatore,Oscuro,Sotterranei,Umanoide
Qualsiasi,Bestiario 1,4,Otyugh,,Sotterranei,Aberrazione
-,Bestiario 2,4,Peryton,,Qualsiasi,Bestia Magica
Qualsiasi,Bestiario 2,4,Pesce Diavolo,Acquatico,Acquatici,Bestia Magica
Temperati,Bestiario 1,4,Pixie,,Foreste,Folletto
-,Bestiario 1,4,Progenie Vampirica,,Qualsiasi,Non Morto
Caldi,Bestiario 1,4,Rinoceronte,,Pianure,Animale
Temperati,Bestiario 1,4,Satiro,,Foreste,Folletto
Temperati,Bestiario 2,4,Scarabeo Mietitore,,Foreste,Parassita
Temperati,Bestiario 1,4,"Scarabeo, Cervo Volante Gigante",,Foreste,Parassita
Caldi,Bestiario 2,4,Scavapolvere,,Deserti,Aberrazione
"Caldi, Temperati",Bestiario 1,4,Sciame di Millepiedi,Sciame,"Foreste, Sotterranei",Parassita
"Caldi, Temperati",Bestiario 1,4,Sciame di Sanguisughe,"Acquatico, Sciame",Paludi,Parassita
-,Bestiario 3,4,Sciame di Serpenti Velenosi,Sciame,Qualsiasi,Animale
-,Avventure Mitiche,4,Segugio Infernale Mitico,"Extraplanare, Fuoco, Legale, Malvagio, Mitico",Qualsiasi (Inferno),Esterno
Qualsiasi,Bestiario 2,4,Senzafaccia,Mutaforma,"Paludi, Sotterranei",Aberrazione
-,Bestiario 3,4,Shae,Extraplanare,Qualsiasi (Piano delle Ombre),Esterno
Freddi,Bestiario 4,4,Shobhad,,"Deserti, Montagne",Umanoide Mostruoso
-,Bestiario 4,4,Shriezyx,,Qualsiasi,Aberrazione
Qualsiasi,Bestiario 2,4,"Solifugo, Albino di Caverna",,Sotterranei,Parassita
Qualsiasi,Bestiario 2,4,Spaventapasseri,,Terreni,Costrutto
Qualsiasi,Bestiario 2,4,Sussurrante,,"Rovine, Urbani",Non Morto
Temperati,Bestiario 3,4,Tanuki,Mutaforma,"Foreste, Urbani",Umanoide Mostruoso
Qualsiasi,Bestiario 2,4,Tentamort,,"Paludi, Sotterranei",Aberrazione
-,Bestiario 3,4,"Thriae, Soldato",,Qualsiasi,Umanoide Mostruoso
Qualsiasi,Bestiario 1,4,Tigre,,Foreste,Animale
Qualsiasi,Bestiario 4,4,Topiario Vivente,,Terreni,Vegetale
Freddi,Bestiario 2,4,Troll dei Ghiacci,"Freddo, Gigante","Montagne, Sotterranei",Umanoide
"Freddi, Temperati",Avventure Mitiche,4,Troll del Muschio Mitico,"Freddo, Gigante, Mitico",Foreste,Umanoide
Temperati,Bestiario 3,4,Uccello del Terrore,,Pianure,Animale
Qualsiasi,Bestiario 4,4,Udeo,"Mitico, Udeo","Terreni, Urbani",Umanoide
Temperati,Bestiario 1,4,Unicorno Mezzo-Celestiale,Nativo,Foreste,Esterno
Qualsiasi,Bestiario 2,4,Uomo Serpente,,Terreni (generalmente Giungle o Sotterranei),Umanoide Mostruoso
Qualsiasi,Bestiario 2,4,Uomo Serpente Degenerato,,Terreni (generalmente Giungle o Sotterranei),Umanoide Mostruoso
Qualsiasi,Bestiario 3,4,Voonith,Acquatico,"Fiumi, Paludi",Bestia Magica
-,Bestiario 1,4,Wight dei Tumuli,,Qualsiasi,Non Morto
-,Bestiario 1,4,Wight del Gelo,,Qualsiasi,Non Morto
Freddi,Bestiario 4,4,Wikkawak,Goblinoide,Montagne,Umanoide
Freddi,Bestiario 1,4,Yeti,Freddo,Montagne,Umanoide Mostruoso
Qualsiasi,Bestiario 3,4,Zuvembie,,Terreni,Non Morto
Qualsiasi,Bestiario 2,5,Achaierai,"Extraplanare, Legale, Malvagio",Terreni (Inferno),Bestia Magica
Caldi,Bestiario 1,5,"Anguilla, Murena Gigante",Acquatico,Oceani,Animale
-,Bestiario 4,5,Antico,Acquatico,Qualsiasi,Aberrazione
"Caldi, Temperati",Bestiario 2,5,Ape Regina Gigante,,Pianure,Parassita
Qualsiasi,Bestiario 3,5,Ascomoide,,Sotterranei,Vegetale
Qualsiasi non Freddi,Bestiario 1,5,Basidirond,,Sotterranei,Vegetale
-,Bestiario 1,5,Basilisco,,Qualsiasi,Bestia Magica
Qualsiasi,Bestiario 4,5,Brethedano,Acquatico,Cieli,Aberrazione
Qualsiasi,Bestiario 4,5,Buggane,,Sotterranei,Umanoide Mostruoso
Qualsiasi,Bestiario 4,5,Cavalluccio Marino Assassino,Acquatico,Oceani,Animale
Caldi,Bestiario 3,5,Cecaelia,Acquatico,Acquatici,Umanoide Mostruoso
"Temperati, Tropicali",Bestiario 1,5,Ciclope,Gigante,Qualsiasi,Umanoide
"Caldi, Temperati",Bestiario 2,5,Cobra Imperatore,,Paludi,Animale
Qualsiasi,Bestiario 2,5,Custode delle Cripte,,Sotterranei,Non Morto
-,Bestiario 2,5,"Daemon, Ceustodaemon Inferiore","Daemon, Extraplanare, Malvagio",Qualsiasi (Abaddon),Esterno
Caldi,Bestiario 3,5,Derhii,,"Foreste, Montagne",Umanoide Mostruoso
-,Bestiario 1,5,"Diavolo, Barbuto","Diavolo, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Temperati,Bestiario 1,5,"Dinosauro, Megaraptor",,Foreste,Animale
Caldi,Bestiario 4,5,"Dinosauro, Stiracosauro",,Pianure,Animale
Temperati,Bestiario 3,5,Divoraragni,,Foreste,Bestia Magica
"Freddi, Temperati",Bestiario 4,5,Draco di Bruma,Aria,"Colline, Paludi, Zone Costiere",Drago
Temperati,Bestiario 2,5,Draco di Fiamma,Fuoco,"Colline, Montagne",Drago
Caldi,Bestiario 1,5,"Drago Cromatico, Blu Cucciolo",Terra,Deserti,Drago
Caldi,Bestiario 1,5,"Drago Cromatico, Nero Molto Giovane",Acqua,Paludi,Drago
Qualsiasi,Bestiario 4,5,"Drago Esterno, Lunare Cucciolo",,Vuoto,Drago
Qualsiasi,Bestiario 4,5,"Drago Esterno, Lunare Cucciolo",,Vuoto,Drago
Qualsiasi,Bestiario 4,5,"Drago Esterno, Solare Cucciolo",Fuoco,Vuoto,Drago
Qualsiasi,Bestiario 4,5,"Drago Esterno, Vuoto Cucciolo",,Vuoto,Drago
